screen_name,Source,tweets,time_stamp
104816532,Africa,"@paul_denton @gouvernementFR owes #Africa,#Haiti,#AfricanAmericans,#FirstNations&amp;diasporas who built🇫🇷,🇺🇸,🇬🇧,@UN,@NATO,🇪🇺,🇵🇹,🇪🇸,🇳🇱,🇧🇪,🇩🇪&amp;🇨🇦&amp;in WW1&amp;2. https://t.co/1NwN8qidPa
https://t.co/5pBBi2NuFG
https://t.co/U5zjKhOEE1
https://t.co/7oOs00P8zF
https://t.co/eHyum5QIzS
https://t.co/s1vFatfF1Q https://t.co/RJiHXvm8Mp",2022-11-04 04:08:20+00:00
1566617216648630273,Africa,"We are committed to building a better future for Africa one person at a time.

Join the waitlist at https://t.co/dJCKEZ8wWQ and stand a chance to win NGN1,000,000 when we hit 100,000 subscribed users. 

#kredete #fintech #credit #personalfinance #Africa #Nigeria https://t.co/9DASK3uDg6",2022-11-04 04:07:42+00:00
2828579059,Africa,"Pope Francis Warns of the Danger of ‘Spiritual Arrogance’ 
In his Sunday Angelus address, Pope Francis warned that ""spiritual arrogance"" can lead to adoration of personal ego inst...
https://t.co/LEg8E4VogU
#30dayswiththePope #Newsdeskinbox 
#africa #bisho... https://t.co/6cPEv4l7YU",2022-11-04 04:07:04+00:00
1566617216648630273,Africa,"Kredete is a personal finance company that's focused on helping everyone in Africa make financial progress. We believe that when it comes to money, everyone deserves a chance to succeed.

Join the waitlist via the link in our bio. 

#kredete #Credit #Africa #fintech #tech https://t.co/kLX64hXEWF",2022-11-04 04:05:07+00:00
1539205900468211713,Africa,SCAM ALERT IN IVORY COAST - BEN CHIZA MKANDAWIRE #ivorycoast #cotedivoire #abidjan #africa #MyScamstory #civ #abidjanestdoux #Nigeria #assinie #abidjanplaces #malawi https://t.co/OYRdjf3Rhk,2022-11-04 04:05:03+00:00
104816532,Africa,"@AssembleeNat @gouvernementFR owes #Africa,#Haiti,#AfricanAmericans,#FirstNations&amp;diasporas who built🇫🇷,🇺🇸,🇬🇧,@UN,@NATO,🇪🇺,🇵🇹,🇪🇸,🇳🇱,🇧🇪,🇩🇪&amp;🇨🇦&amp;in WW1&amp;2. https://t.co/1NwN8qidPa
https://t.co/5pBBi2NuFG
https://t.co/U5zjKhOEE1
https://t.co/7oOs00P8zF
https://t.co/eHyum5QIzS
https://t.co/s1vFatfF1Q https://t.co/RJiHXvm8Mp",2022-11-04 04:04:46+00:00
1498645645527515139,Africa,Tandoori Masala | Tandoori Spice Mix | Barbeque Spices | Homemade Tandoori Masala | Indian Spice Blend | Seasoning Blend | Healthy Spice https://t.co/OEeHKgHvl5 via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamon,2022-11-04 04:02:44+00:00
1498645645527515139,Africa,Organic Raita Masala | Curd | Yogurt Spice | Fruit | Veg Raita | Homemade Masala | Indian Spice Blend | Seasoning Blend | Healthy Spice https://t.co/6BEKXmzwPd via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamons,2022-11-04 04:02:30+00:00
1498645645527515139,Africa,Vegetable Masala Powder | Dry Sabji Curry | Veg Masala Spice Mix | Homemade Masala | Indian Spice Blend | Healthy Spice | Seasoning Blend https://t.co/i55bFnWl2i via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamo,2022-11-04 04:01:48+00:00
73800371,Africa,"Pope Francis Warns of the Danger of ‘Spiritual Arrogance’ 
In his Sunday Angelus address, Pope Francis warned that ""spiritual arrogance"" can lead to adoration of personal ego inst...
https://t.co/40dFhOUQFi
#30dayswiththePope #Newsdeskinbox 
#africa #bisho... https://t.co/kYQholppWf",2022-11-04 04:01:47+00:00
1498645645527515139,Africa,Fish Masala Powder | Sea Food Spice | Fish Curry Spice Mix | Homemade Fish Masala | Indian Spice Blend | Seasoning Blend | Healthy Spice https://t.co/yMWCJ7zqQ5 via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamon,2022-11-04 04:01:12+00:00
1498645645527515139,Africa,Organic Chat Masala | Chaat Masala Powder | Sprinkle on Fruits | Homemade Masala | Indian Spice Blend | Seasoning Blend | Healthy Spice https://t.co/RSNjJcTh3R via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamons,2022-11-04 04:00:57+00:00
1498645645527515139,Africa,Chicken Butter Masala | Butter Chicken Masala | Barbeque Spices | Homemade Masala | Indian Spice Blend | Seasoning Blend | Healthy Spice https://t.co/LTDGt21HyV via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamon,2022-11-04 04:00:43+00:00
399830887,Africa,"How can infrastructure investment through #PPPs deliver public services in #Africa? @johnsonkilangi provides important insights. 

Learn more: https://t.co/bEFGtbCwNi https://t.co/HAGUJTb6Nu",2022-11-04 04:00:39+00:00
1539205900468211713,Africa,SCAM ALERT IN IVORY COAST - BEN CHIZA MKANDAWIRE #ivorycoast #cotedivoire #abidjan #africa #MyScamstory #civ #abidjanestdoux #Nigeria #assinie #abidjanplaces #malawi https://t.co/jdAbXDDRzb,2022-11-04 04:00:10+00:00
1498645645527515139,Africa,Spicy Egg Masala | Anda Curry | Saksuka Masala | Egg Spice Mix | Homemade Egg Masala | Indian Spice Blend | Seasoning Blend | Healthy Spice https://t.co/yYBQYlyJLd via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cin,2022-11-04 04:00:01+00:00
2828579059,Africa,"India: Vatican Appointee Faces Boycott in Archdiocese 
Priests and lay leaders in the archdiocese have been opposing the imposition of a liturgical pattern approved by the bis...
https://t.co/NPqmHqsXf8
#Asia #Newsdeskinbox #World 
#africa #ArchbishopAndr... https://t.co/DuEdrSY3fs",2022-11-04 03:59:56+00:00
1498645645527515139,Africa,Organic Mint Powder | Dry Pudina Powder | Chutney Powder | Dried Mint Powder | Mint Leaves Powder | Organic Herbs | Homemade Mint Powder https://t.co/AKfOiuxTNM via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamon,2022-11-04 03:59:10+00:00
1498645645527515139,Africa,"Organic Kasuri Methi, Organic Dry Fenugreek Leaves, Premium Quality, Organic Pure Kasuri Methi, Indian methi, Whole Dried Fenugreek Leaf. https://t.co/mP8PWu54e5 via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamo",2022-11-04 03:58:40+00:00
1498645645527515139,Africa,Indian Long Pepper | Pipali | Pippali | Long Peppercorns | Piper longum Whole &amp; Powder | Indigestion | | Cough | Immune Booster https://t.co/qY5qMeg5AX via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks,2022-11-04 03:58:26+00:00
100001965,Africa,"Those who have eyes will see !
Those who have ears will hear !

The Gov of Ethiopia cares more than Digital Weyanne &amp; Relatives/ Beneficiaries of TPLF who don't reside in Tigray.

#SayNomore #GameOver #Ethiopia #Eritrea #Africa",2022-11-04 03:58:25+00:00
1498645645527515139,Africa,"Organic Cinnamon Powder, Herbal Cinnamon stick, Pure cinnamon bark powder, Cinnamon bark https://t.co/6ZuIv7aIg2 via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonsticks",2022-11-04 03:58:12+00:00
1498645645527515139,Africa,"Organic Star Anise, Illicium Velum, Whole Dried Herb, Anise Star Pods, Ayurvedic Herb, Home Remedy For Indigestion And Constipation https://t.co/3nToVhps5n via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamonstick",2022-11-04 03:57:58+00:00
1498645645527515139,Africa,White Sesame Seeds | Safaid Til | Sesamum Indicum | Hulled Sesame Seeds | Herbal Seeds | High Fiber Food | Organic Seeds | Healthy seeds https://t.co/qi7vMr662O via @Etsy  #travel #market #souq #africa #travelgram #colourscinnamon #cinnamon #ceyloncinnamon #truecinnamon #cinnamon,2022-11-04 03:57:20+00:00
